Symbol,Last Price $,Change $,Change %,Qty #,Price Paid $
RGTI,9.1,-0.32,-3.4,100,6
ORCL,132.35,-1,-0.75,100,107.5
INTC,19.74,-0.14,-0.7,100,24.864
META,543.57,-2.72,-0.5,100,150.4933
DIS,84.89,-0.34,-0.4,100,96.3178
NFLX,918.29,-2.88,-0.31,100,325.2
COST,963.41,-0.9,-0.09,100,468.1813
TSLA,252.31,-0.09,-0.04,100,194.7
NKE,54.39,-0.01,-0.02,100,87.6296
HD,353.86,0.24,0.07,100,347.7
TGT,92.78,0.07,0.08,100,117.7262
BAC,35.95,0.1,0.28,100,26.424
CB,283.37,1.03,0.36,100,187.07
CVX,135.63,0.65,0.48,100,140
ADBE,352.47,2.42,0.69,100,440.125
CVS,69.51,0.54,0.78,100,75.0291
BA,156.84,1.32,0.85,100,147.1633
UNH,599.47,5.07,0.85,100,436.8706
KO,71.43,0.67,0.95,100,55
GS,494.44,4.64,0.95,100,326.5292
SBUX,85.43,0.83,0.98,100,72.5714
MCD,309.9,3.12,1.02,100,248.9837
AMC,2.95,0.03,1.03,100,47.20059
VNQ,83.63,1.01,1.22,22,76.7832
WM,229.38,2.93,1.29,100,153.5149
PFE,21.91,0.32,1.48,100,38.8094
CAT,293.45,4.29,1.48,100,215.7501
SOLV,66.19,1.02,1.57,100,56.81
LLY,732.41,11.5,1.6,100,758.3333
VBK,236.21,3.75,1.61,100,249.9351
VOT,233.06,3.78,1.65,100,213.4148
SPY,533.94,9.36,1.78,100,490.9665
QQQ,454.4,8.22,1.84,100,415.1598
MSFT,388.45,7.1,1.86,100,261.0916
XYZ,53.94,1.03,1.95,100,48.1
O,55.22,1.07,1.98,100,51.73
AMZN,184.87,3.65,2.01,100,124.0162
VGT,520.14,10.37,2.03,100,384.9818
JNJ,151.73,3.04,2.04,100,153
DG,89.04,1.91,2.19,100,128.7947
MMM,135.95,2.98,2.24,100,101.4665
XLE,78.89,1.91,2.48,100,82.0211
ADP,299.54,7.33,2.51,100,210
NVDA,110.93,3.36,3.12,100,41.6565
PYPL,62.59,2.03,3.35,100,74.4
ARM,103.99,3.53,3.51,100,70.824
JPM,236.2,9.09,4,100,122.9798
AAPL,198.15,7.73,4.06,100,142.6975
DOW,28.43,1.14,4.18,100,49.9783
SCHW,76.96,3.11,4.21,100,49.907
AMAT,144.94,6.7,4.85,100,140
HOOD,43.68,3.17,7.83,100,37.3333
